Year,Item,Country,Value,Source,Notes,ISO3
2004,Total value added,Barbados,3236.95820314442,733,"6495,6432",BRB
2004,"Transport, storage and communications",Barbados,335.515384615385,733,"6432,6495",BRB
2004,"Wholesale and retail trade, and repair of goods",Barbados,359.186243631311,733,"6432,6495",BRB
2004,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Barbados,850.72375328084,733,"6432,6495",BRB
2005,"Agriculture, hunting, forestry and fishing",Barbados,60.6,733,"6432,6495",BRB
2005,Construction,Barbados,211.7,733,"6432,6495",BRB
2005,"Electricity, gas and water supply",Barbados,83.85,733,"6432,6495",BRB
2005,"Financial intermediation, real estate, renting and business activities",Barbados,1023.05,733,"6432,6495",BRB
2005,Gross domestic product (GDP),Barbados,3891.5,733,"6432,6495",BRB
2005,Hotels and restaurants,Barbados,481.65,733,"6432,6495",BRB
2005,Manufacturing,Barbados,267.95,733,"6432,6495",BRB
2005,Mining and quarrying,Barbados,7.35,733,"6495,6432",BRB
2005,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Barbados,501.25,733,"6432,6495",BRB
2005,Statistical discrepancy of GDP by economic activity,Barbados,524.25,733,"6432,6495",BRB
2005,Total value added,Barbados,3367.25,733,"6495,6432",BRB
2005,"Transport, storage and communications",Barbados,351.75,733,"6432,6495",BRB
2005,"Wholesale and retail trade, and repair of goods",Barbados,378.1,733,"6432,6495",BRB
2005,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Barbados,859.75,733,"6432,6495",BRB
2006,"Agriculture, hunting, forestry and fishing",Barbados,57.1608610567515,733,"6432,6495",BRB
2006,Construction,Barbados,210.8472306143,733,"6432,6495",BRB
2006,"Electricity, gas and water supply",Barbados,91.8254498714653,733,"6432,6495",BRB
2006,"Financial intermediation, real estate, renting and business activities",Barbados,1091.86943241496,733,"6432,6495",BRB
2006,Gross domestic product (GDP),Barbados,4113.56929347826,733,"6432,6495",BRB
2006,Hotels and restaurants,Barbados,568.877952755906,733,"6432,6495",BRB
2006,Manufacturing,Barbados,266.254113924051,733,"6432,6495",BRB
2006,Mining and quarrying,Barbados,7.1295,733,"6432,6495",BRB
2006,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Barbados,502.70201873386,733,"6432,6495",BRB
2006,Statistical discrepancy of GDP by economic activity,Barbados,558.1306,733,"6432,6495",BRB
2006,Total value added,Barbados,3555.43873224071,733,"6432,6495",BRB
2006,"Transport, storage and communications",Barbados,372.623076923077,733,"6432,6495",BRB
2006,"Wholesale and retail trade, and repair of goods",Barbados,404.369106067624,733,"6432,6495",BRB
2006,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Barbados,955.027048702246,733,"6432,6495",BRB
2007,"Agriculture, hunting, forestry and fishing",Barbados,58.465362035225,733,"6432,6495",BRB
2007,Construction,Barbados,210.8472306143,733,"6432,6495",BRB
2007,"Electricity, gas and water supply",Barbados,92.9032133676093,733,"6432,6495",BRB
2007,"Financial intermediation, real estate, renting and business activities",Barbados,1113.1981533721,733,"6432,6495",BRB
2007,Gross domestic product (GDP),Barbados,4182.30502717391,733,"6432,6495",BRB
2007,Hotels and restaurants,Barbados,495.682322834646,733,"6432,6495",BRB
2007,Manufacturing,Barbados,263.286313291139,733,"6432,6495",BRB
2007,Mining and quarrying,Barbados,6.6885,733,"6432,6495",BRB
2007,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Barbados,549.429421394101,733,"6432,6495",BRB
2007,Statistical discrepancy of GDP by economic activity,Barbados,547.9481,733,"6432,6495",BRB
2007,Total value added,Barbados,3634.35692929668,733,"6432,6495",BRB
2007,"Transport, storage and communications",Barbados,395.042307692308,733,"6432,6495",BRB
2007,"Wholesale and retail trade, and repair of goods",Barbados,430.813339509032,733,"6495,6432",BRB
2007,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Barbados,944.496427529892,733,"6432,6495",BRB
2008,"Agriculture, hunting, forestry and fishing",Barbados,58.465362035225,733,"6432,6495",BRB
2008,Construction,Barbados,199.974420946626,733,"6432,6495",BRB
2008,"Electricity, gas and water supply",Barbados,92.6876606683805,733,"6432,6495",BRB
2008,"Financial intermediation, real estate, renting and business activities",Barbados,1116.99185770453,733,"6432,6495",BRB
2008,Gross domestic product (GDP),Barbados,4196.65644409938,733,"6495,6432",BRB
2008,Hotels and restaurants,Barbados,498.337086614173,733,"6432,6495",BRB
2008,Manufacturing,Barbados,257.350712025316,733,"6432,6495",BRB
2008,Mining and quarrying,Barbados,6.174,733,"6495,6432",BRB
2008,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Barbados,584.36437908531,733,"6432,6495",BRB
2008,Statistical discrepancy of GDP by economic activity,Barbados,532.3861,733,"6432,6495",BRB
2008,Total value added,Barbados,3664.27034201336,733,"6432,6495",BRB
2008,"Transport, storage and communications",Barbados,407.025,733,"6432,6495",BRB
2008,"Wholesale and retail trade, and repair of goods",Barbados,427.310792033349,733,"6432,6495",BRB
2008,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Barbados,941.236949547973,733,"6432,6495",BRB
2009,"Agriculture, hunting, forestry and fishing",Barbados,60.1256360078278,733,"6432,6495",BRB
2009,Construction,Barbados,163.518529707956,733,"6432,6495",BRB
2009,"Electricity, gas and water supply",Barbados,93.3343187660668,733,"6495,6432",BRB
2009,"Financial intermediation, real estate, renting and business activities",Barbados,1104.62016098836,733,"6432,6495",BRB
2009,Gross domestic product (GDP),Barbados,4022.92876552795,733,"6432,6495",BRB
2009,Hotels and restaurants,Barbados,481.270748031496,733,"6432,6495",BRB
2009,Manufacturing,Barbados,225.976819620253,733,"6432,6495",BRB
2009,Mining and quarrying,Barbados,3.8955,733,"6432,6495",BRB
2009,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Barbados,607.639004163138,733,"6432,6495",BRB
2009,Statistical discrepancy of GDP by economic activity,Barbados,466.8831,733,"6432,6495",BRB
2009,Total value added,Barbados,3556.0456513318,733,"6432,6495",BRB
2009,"Transport, storage and communications",Barbados,395.815384615385,733,"6432,6495",BRB
2009,"Wholesale and retail trade, and repair of goods",Barbados,407.17114404817,733,"6432,6495",BRB
2009,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Barbados,901.120297462817,733,"6432,6495",BRB
2010,"Agriculture, hunting, forestry and fishing",Barbados,56.4493150684931,733,"6432,6495",BRB
