month,national,cades-bay,christian-valley,cobbs-cross,cochrane,renfrew,dunbars,codrington,coolidge,green-castle,jolly-hill
1980-10-01 00:00:00,171.20,163.82999999999998,154.68599999999998,,103.63199999999999,,,,185.42,156.72,163.83
1980-11-01 00:00:00,62.48,75.438,86.868,,34.544000000000004,,,,49.02,75.95,78.49
1980-12-01 00:00:00,118.87,99.568,111.252,,94.234,,,,97.03,140.46,108.46
1981-01-01 00:00:00,38.10,46.736,41.401999999999994,,27.178,,,,45.97,29.97,32.51
1981-02-01 00:00:00,86.61,103.378,103.63199999999999,,74.422,,,,72.14,101.09,94.23
1981-03-01 00:00:00,74.42,119.126,84.836,,74.422,,,,58.67,89.92,69.85
1981-04-01 00:00:00,245.36,333.502,330.45399999999995,,206.24799999999996,,,,198.63,291.85,243.59
1981-05-01 00:00:00,137.16,134.112,84.32799999999999,,124.46000000000001,,,,139.19,135.13,114.05
1981-06-01 00:00:00,68.33,50.8,67.818,,80.264,,,,49.78,86.61,118.11
1981-07-01 00:00:00,168.15,157.73399999999998,193.04,,149.606,,,,155.45,180.59,221.74
1981-08-01 00:00:00,90.93,130.048,113.53799999999998,,77.46999999999998,,,,78.23,103.63,121.41
1981-09-01 00:00:00,225.30,358.64799999999997,424.434,,168.148,,,,199.90,250.70,307.09
1981-10-01 00:00:00,167.13,204.47,207.518,,211.582,,,,135.64,198.63,136.40
1981-11-01 00:00:00,139.19,185.67399999999998,225.55200000000002,,105.15599999999999,,,,140.97,137.16,82.04
1981-12-01 00:00:00,235.46,181.356,217.678,,230.378,,,,176.28,294.64,188.98
1982-01-01 00:00:00,68.58,73.66,64.008,,45.466,,,,63.25,73.66,40.89
1982-02-01 00:00:00,130.81,115.82399999999998,116.83999999999999,,106.67999999999999,,,,110.49,150.88,45.72
1982-03-01 00:00:00,33.27,39.37,35.81399999999999,,26.669999999999998,,,,28.70,37.85,32.26
1982-04-01 00:00:00,154.69,76.454,91.69399999999999,,109.47399999999999,,,,114.05,195.33,155.45
1982-05-01 00:00:00,57.40,130.302,111.76,,51.56199999999999,,,,75.18,39.62,62.99
1982-06-01 00:00:00,20.83,12.7,34.798,,38.608,,,,24.89,16.51,39.12
1982-07-01 00:00:00,110.74,94.488,121.666,,87.884,,,,108.71,112.78,118.36
1982-08-01 00:00:00,114.81,69.342,144.272,,83.05799999999999,,,,80.77,148.59,135.64
1982-09-01 00:00:00,55.37,40.894,57.40399999999999,,51.053999999999995,,,,48.01,62.74,71.12
1982-10-01 00:00:00,145.29,176.276,138.684,,109.21999999999998,,,,150.37,139.95,189.48
1982-11-01 00:00:00,214.88,161.798,229.10799999999998,,246.37999999999997,,,,183.13,246.38,192.79
1982-12-01 00:00:00,131.57,133.60399999999998,163.06799999999998,,165.862,,,,110.74,152.40,171.70
1983-01-01 00:00:00,48.01,73.15199999999999,63.246,,63.75399999999999,,,,30.99,64.77,50.80
1983-02-01 00:00:00,8.13,13.97,18.796,,12.7,,,,9.91,6.35,6.35
1983-03-01 00:00:00,33.53,59.43599999999999,72.64399999999999,,30.479999999999997,,,,28.70,38.10,76.71
1983-04-01 00:00:00,34.04,100.33,110.48999999999998,,11.176,,,,19.81,48.01,52.83
1983-05-01 00:00:00,112.27,241.29999999999998,158.496,,135.89,,,,85.34,139.19,141.99
1983-06-01 00:00:00,40.39,90.932,65.78599999999999,,49.784,,,,45.21,35.56,61.72
1983-07-01 00:00:00,99.57,134.874,140.20799999999997,,105.664,,,,64.01,134.87,142.49
1983-08-01 00:00:00,88.90,121.91999999999999,123.18999999999998,,72.898,,,,90.42,87.38,102.11
1983-09-01 00:00:00,74.17,80.264,75.438,,60.45199999999999,,,,72.39,75.95,81.28
1983-10-01 00:00:00,54.86,33.528,94.996,,76.708,,,,54.61,55.12,121.16
1983-11-01 00:00:00,34.80,52.832,30.733999999999998,,21.081999999999997,,,,22.61,46.99,71.88
1983-12-01 00:00:00,53.34,108.204,80.264,,54.356,,,,42.67,64.01,63.25
1984-01-01 00:00:00,105.16,110.23599999999999,109.728,,79.248,,,,75.69,134.37,107.44
1984-02-01 00:00:00,42.16,60.959999999999994,68.58,,19.558,,,,28.45,55.88,89.15
1984-03-01 00:00:00,67.82,96.01199999999999,90.678,,57.15,,,,85.85,49.53,66.29
1984-04-01 00:00:00,40.64,33.782,52.832,,54.102,,,,21.34,59.69,96.27
1984-05-01 00:00:00,84.58,161.798,136.398,,66.03999999999999,,,,73.66,95.25,146.56
1984-06-01 00:00:00,53.59,54.356,59.943999999999996,,33.274,,,,48.51,58.67,72.64
1984-07-01 00:00:00,50.80,79.756,84.32799999999999,,54.864,,,,51.05,50.29,43.43
1984-08-01 00:00:00,38.61,37.337999999999994,60.959999999999994,,41.148,,,,34.04,43.18,65.79
1984-09-01 00:00:00,188.47,108.712,143.76399999999998,,229.87,,,,216.92,160.02,193.04
1984-10-01 00:00:00,167.13,112.014,133.60399999999998,,122.93599999999999,,,,205.74,128.27,163.07
1984-11-01 00:00:00,234.44,389.382,314.96,,296.164,,,,247.40,221.49,272.54
1984-12-01 00:00:00,78.23,62.738,44.958,,35.05199999999999,,,,76.20,80.01,61.21
1985-01-01 00:00:00,48.77,63.5,78.48599999999999,,70.35799999999999,,,,41.15,56.39,65.79
1985-02-01 00:00:00,42.42,64.26199999999999,57.657999999999994,,22.86,,,,44.45,40.39,47.50
1985-03-01 00:00:00,170.69,160.27399999999997,154.68599999999998,,282.448,,,,179.07,162.05,183.64
1985-04-01 00:00:00,80.52,23.114,41.148,,111.50599999999999,,,,90.93,70.10,44.45
1985-05-01 00:00:00,23.37,31.496,15.493999999999998,,21.081999999999997,,,,24.38,22.10,28.19
1985-06-01 00:00:00,12.45,33.019999999999996,24.383999999999997,,9.398,,,,10.92,13.72,15.24
1985-07-01 00:00:00,100.58,104.648,47.244,,113.53799999999998,,,,95.50,105.41,114.05
1985-08-01 00:00:00,98.30,83.82,81.28,,86.36,,,,93.73,102.87,112.52
1985-09-01 00:00:00,230.89,333.502,291.338,,211.582,,,,186.44,275.08,241.30
1985-10-01 00:00:00,181.86,155.448,139.446,,162.052,,,,177.29,186.44,134.62
1985-11-01 00:00:00,203.96,155.956,196.596,,278.638,,,,188.72,218.95,188.47
1985-12-01 00:00:00,58.93,44.449999999999996,22.86,,47.498,,,,56.64,61.21,62.99
1986-01-01 00:00:00,33.78,59.181999999999995,59.43599999999999,,45.211999999999996,,,,35.05,32.51,62.48
1986-02-01 00:00:00,31.24,29.971999999999998,31.241999999999997,,40.386,,,,20.07,42.42,32.26
1986-03-01 00:00:00,54.36,58.674,79.248,,29.717999999999996,,,,46.23,62.48,80.26
1986-04-01 00:00:00,121.67,82.80399999999999,115.82399999999998,,97.78999999999999,,,,116.84,126.49,127.76
1986-05-01 00:00:00,103.38,78.48599999999999,94.996,,81.788,,,,112.52,94.23,72.90
1986-06-01 00:00:00,20.07,54.60999999999999,32.004,,22.86,,,,22.10,17.78,28.19
1986-07-01 00:00:00,75.44,33.019999999999996,35.81399999999999,,48.513999999999996,,,,102.87,48.01,33.27
1986-08-01 00:00:00,56.64,85.85199999999999,111.252,,46.99,,,,52.83,60.20,93.98
1986-09-01 00:00:00,72.64,70.612,72.136,,91.948,,,,41.40,103.63,121.16
1986-10-01 00:00:00,49.02,82.80399999999999,106.17199999999998,,61.97599999999999,,,,19.56,78.49,49.78
1986-11-01 00:00:00,339.09,387.096,392.42999999999995,,296.418,,,,250.95,426.97,387.35
1986-12-01 00:00:00,63.75,93.21799999999999,89.408,,n/a,,,,67.06,60.45,71.12
1987-01-01 00:00:00,57.15,85.09,78.232,,n/a,,,,43.18,70.87,53.09
1987-02-01 00:00:00,22.35,25.145999999999997,27.686,,n/a,,,,18.29,26.16,21.59
1987-03-01 00:00:00,51.31,52.577999999999996,38.608,,3.0479999999999996,,,,57.15,45.47,35.81
1987-04-01 00:00:00,44.70,124.714,106.17199999999998,,153.67,,,,25.91,63.25,68.07
1987-05-01 00:00:00,508.51,327.152,422.90999999999997,,274.828,,,,468.38,548.39,354.08
1987-06-01 00:00:00,122.94,181.864,178.308,,77.978,,,,64.52,181.10,193.80
1987-07-01 00:00:00,61.72,49.275999999999996,72.64399999999999,,67.564,,,,50.04,73.15,75.18
1987-08-01 00:00:00,76.71,74.16799999999999,90.42399999999999,,74.93,,,,81.79,71.63,63.75
1987-09-01 00:00:00,156.46,120.90399999999998,156.464,,102.86999999999999,,,,151.89,161.04,165.61
1987-10-01 00:00:00,215.65,120.396,196.85,,173.736,,,,134.87,296.42,218.95
1987-11-01 00:00:00,269.49,249.428,225.04399999999998,,258.82599999999996,,,,245.62,293.37,278.64
1987-12-01 00:00:00,100.33,117.09400000000001,101.092,,105.664,,,,91.19,109.22,85.85
1988-01-01 00:00:00,91.95,82.042,91.44,,91.69399999999999,,,,67.31,116.59,108.71
1988-02-01 00:00:00,62.48,86.614,97.78999999999999,,102.86999999999999,,,,47.75,77.22,87.12
1988-03-01 00:00:00,90.17,133.85799999999998,102.10799999999999,,56.641999999999996,,,,95.76,84.33,76.71
1988-04-01 00:00:00,46.23,14.985999999999999,34.544000000000004,,31.496,,,,41.66,50.80,65.02
1988-05-01 00:00:00,50.04,57.40399999999999,66.548,,37.083999999999996,,,,61.98,38.10,50.55
1988-06-01 00:00:00,50.55,67.818,57.15,,45.211999999999996,,,,33.53,67.31,101.85
1988-07-01 00:00:00,175.51,106.426,176.784,,55.372,,,,174.75,176.28,184.15
1988-08-01 00:00:00,297.18,327.152,262.128,,299.72,,,,278.13,315.98,324.36
1988-09-01 00:00:00,182.37,226.314,210.82,,193.802,,,,194.82,169.93,177.80
1988-10-01 00:00:00,117.86,97.78999999999999,88.89999999999999,,104.90199999999999,,,,115.32,120.40,127.00
1988-11-01 00:00:00,102.11,149.86,147.828,,87.63,,,,90.17,114.05,155.45
1988-12-01 00:00:00,93.22,98.298,93.472,,48.26,,,,112.01,74.42,80.52
1989-01-01 00:00:00,86.36,148.33599999999998,108.204,,,,,,78.49,94.23,101.60
1989-02-01 00:00:00,52.32,126.23799999999999,81.28,,,,,,46.99,57.66,77.72
1989-03-01 00:00:00,54.61,34.798,50.038,,,,,,50.29,58.67,56.13
1989-04-01 00:00:00,52.07,50.546,64.77,,,,,,39.12,65.02,54.36
1989-05-01 00:00:00,28.70,18.541999999999998,27.686,,,,,,30.48,26.67,49.78
1989-06-01 00:00:00,57.91,n/a,41.401999999999994,,,,,,77.22,38.61,17.78
1989-07-01 00:00:00,54.86,109.982,94.234,,,,,,41.40,68.33,90.17
1989-08-01 00:00:00,109.98,135.89,218.69399999999996,,,,,,134.11,85.60,203.71
1989-09-01 00:00:00,310.64,367.284,399.542,,,,,,295.66,325.63,364.24
1989-10-01 00:00:00,121.67,46.228,30.987999999999996,,,,,,155.19,88.14,55.63
1989-11-01 00:00:00,98.04,139.95399999999998,143.25599999999997,,,,,,112.27,83.57,87.12
1989-12-01 00:00:00,36.07,39.878,40.386,,,,,,39.12,33.02,29.97
1990-01-01 00:00:00,46.99,55.88,49.022,,,,,,42.93,51.05,52.32
1990-02-01 00:00:00,34.04,49.275999999999996,61.722,,,,,,45.72,22.35,53.09
1990-03-01 00:00:00,49.02,40.64,71.374,,,,,,55.88,41.91,42.93
1990-04-01 00:00:00,130.56,127.50799999999998,115.82399999999998,,,,,,146.81,114.30,118.11
1990-05-01 00:00:00,74.93,29.209999999999997,58.92799999999999,,,,,,74.68,74.93,60.45
1990-06-01 00:00:00,79.76,92.202,53.08599999999999,,,,,,71.12,88.39,74.68
1990-07-01 00:00:00,52.58,78.232,77.46999999999998,,,,,,58.67,46.48,100.33
1990-08-01 00:00:00,84.58,89.154,116.078,,,,,,65.02,103.89,99.31
1990-09-01 00:00:00,71.63,75.438,142.23999999999998,,,,,,46.48,96.77,106.68
1990-10-01 00:00:00,254.51,180.84799999999998,302.26,,,,,,239.27,269.49,309.12
1990-11-01 00:00:00,85.85,110.48999999999998,51.053999999999995,,,,,,89.41,82.30,70.61
1990-12-01 00:00:00,109.73,102.86999999999999,141.986,,,,,,91.69,127.76,99.57
1991-01-01 00:00:00,73.15,143.76399999999998,102.362,,,,,,44.70,101.60,84.33
1991-02-01 00:00:00,74.68,30.733999999999998,33.528,,,,,,78.74,70.61,64.01
1991-03-01 00:00:00,27.18,105.664,72.39,,,,,,16.26,38.10,48.77
1991-04-01 00:00:00,48.77,69.596,37.592,,,,,,66.80,30.48,36.83
1991-05-01 00:00:00,62.48,39.37,56.388000000000005,,,,,,56.90,67.82,52.07
1991-06-01 00:00:00,60.96,51.053999999999995,35.81399999999999,,,,,,56.39,65.28,72.90
1991-07-01 00:00:00,120.90,165.35399999999998,166.11599999999999,,,,,,89.15,152.40,125.73
1991-08-01 00:00:00,69.09,72.39,44.449999999999996,,,,,,54.10,83.82,74.93
1991-09-01 00:00:00,150.37,107.44200000000001,150.114,,,,,,116.59,184.15,159.26
1991-10-01 00:00:00,51.05,74.422,52.577999999999996,,,,,,12.45,89.66,61.21
1991-11-01 00:00:00,154.18,154.93999999999997,128.26999999999998,,,,,,143.76,164.34,134.37
1991-12-01 00:00:00,53.34,75.692,57.40399999999999,,,,,,38.61,67.82,72.39
1992-01-01 00:00:00,76.96,76.708,74.67599999999999,,84.836,68.58,,,68.33,85.34,69.09
1992-02-01 00:00:00,62.99,33.528,55.372,,38.354,33.27,,,28.70,97.28,46.48
1992-03-01 00:00:00,150.11,81.53399999999999,86.106,,58.166,72.14,,,39.37,260.86,92.71
1992-04-01 00:00:00,198.12,58.92799999999999,78.232,,36.57599999999999,222.25,,,172.72,223.27,79.50
1992-05-01 00:00:00,168.66,103.63199999999999,131.826,,463.29599999999994,113.03,,,156.46,180.85,124.21
