month,belont,bequia,botanical-gardens,capden-park-exp.-station/pebroke,canouan,dubarton,layou,et-office/arnosvale,ustique,rabacca,rivulet,three-rivers,union-island,wallilabou
1981-09-01 00:00:00,194.31,114.30,108.71,147.32,,116.33,120.9,103.40,0.00,,95.50,191.52,76.20,162.56
1981-10-01 00:00:00,271.02,98.55,90.93,74.93,,138.94,102.11,74.60,0.00,,66.29,136.65,63.50,91.69
1981-11-01 00:00:00,263.40,85.60,115.57,157.23,,251.21,183.39,198.10,0.00,,237.74,206.76,66.04,152.91
1981-12-01 00:00:00,233.68,132.84,149.61,240.54,,198.63,253.24,263.00,0.00,,154.94,231.14,115.32,230.63
1982-01-01 00:00:00,220.22,,86.87,73.41,,124.01,104.14,88.60,0.00,,59.94,119.38,,84.84
1982-02-01 00:00:00,236.73,,137.16,157.99,,192.54,103.89,123.30,0.00,,97.03,71.63,,125.22
1982-03-01 00:00:00,120.40,,45.97,62.23,,59.19,91.44,32.30,0.00,,14.22,3.05,,56.90
1982-04-01 00:00:00,106.93,,131.83,76.96,,90.93,34.54,89.80,0.00,,57.07,223.77,,60.45
1982-05-01 00:00:00,70.36,,64.01,49.28,,144.53,57.15,58.00,0.00,,21.84,238.25,,71.63
1982-06-01 00:00:00,214.12,,65.28,68.33,,98.86,72.39,52.70,0.00,,48.01,72.90,,118.36
1982-07-01 00:00:00,484.12,,140.21,158.75,,191.18,111.25,167.40,76.20,,158.75,209.55,,144.02
1982-08-01 00:00:00,434.85,,272.80,322.58,,369.83,366.78,328.00,152.40,,265.94,209.55,,282.19
1982-09-01 00:00:00,305.31,,268.73,204.22,,304.04,141.73,160.70,116.84,,127.51,323.09,,219.96
1982-10-01 00:00:00,353.06,,204.22,206.76,,353.96,262.13,323.30,121.92,,161.04,290.32,,217.17
1982-11-01 00:00:00,311.66,,145.29,253.24,,232.93,249.94,191.60,124.92,,144.02,300.23,,205.23
1982-12-01 00:00:00,143.00,,101.85,67.56,,190.26,162.56,176.50,45.72,,90.68,243.33,,57.15
1983-01-01 00:00:00,198.63,,149.86,46.48,,205.24,85.85,157.20,17.78,,108.20,140.21,,
1983-02-01 00:00:00,15.75,,17.02,14.22,,8.63,3.56,23.80,0.00,,11.18,0.00,,
1983-03-01 00:00:00,53.09,,38.61,35.81,,90.68,2.03,67.90,0.00,,63.50,41.66,,
1983-04-01 00:00:00,4.83,,39.88,37.59,,88.14,4.06,43.70,0.00,,23.11,55.12,,
1983-05-01 00:00:00,222.00,,137.67,96.27,,249.94,164.08,144.20,53.34,,130.81,313.69,,
1983-06-01 00:00:00,274.32,,24.71,126.49,,161.8,311.4,124.20,111.76,,339.27,221.49,,
1983-07-01 00:00:00,621.28,,324.61,309.88,,328.44,367.54,309.80,109.22,,116.59,403.61,,
1983-08-01 00:00:00,295.15,,187.45,163.07,,233.08,200.15,163.00,142.24,,220.73,197.87,,
1983-09-01 00:00:00,521.72,,191.52,295.91,,342.9,405.64,296.00,241.30,,147.32,0.00,,
1983-10-01 00:00:00,138.43,,121.92,180.59,,151.89,39.62,180.60,48.26,,112.27,0.00,,
1983-11-01 00:00:00,158.50,,210.31,146.30,,202.94,63.5,146.30,63.50,,145.03,0.00,,
1983-12-01 00:00:00,197.61,,189.99,222.25,,318.79,241.81,222.30,40.64,,,0.00,,
1984-01-01 00:00:00,190.25,,126.49,154.18,,311.92,143,180.20,0.00,,102.87,194.57,,
1984-02-01 00:00:00,55.88,,76.71,76.96,,103.13,6.35,133.00,17.78,,68.33,81.03,,
1984-03-01 00:00:00,108.97,,89.66,92.46,,130.31,48.77,120.00,48.26,,75.69,0.00,,
1984-04-01 00:00:00,17.02,,17.78,10.41,,51.32,5.08,40.60,0.00,,22.61,39.62,,
1984-05-01 00:00:00,99.31,,72.39,38.10,,124.21,81.03,93.60,27.94,,35.05,111.01,,
1984-06-01 00:00:00,144.02,,59.69,62.74,,183.13,102.11,111.50,55.88,,74.93,374.66,,
1984-07-01 00:00:00,341.63,,249.94,259.33,,251.72,246.63,265.90,172.72,,195.83,218.18,,
1984-08-01 00:00:00,228.35,,177.04,161.04,,252.23,178.05,199.70,134.62,,137.92,178.06,,
1984-09-01 00:00:00,279.91,,142.49,227.33,,209.81,219.46,189.60,127.00,,225.30,192.80,,
1984-10-01 00:00:00,318.01,,142.49,170.69,,252.73,271.78,228.30,170.18,,140.72,224.30,,
