month,george-f-l-charles-airport,hewanorra-international-airport
2000-01-01 00:00:00,121.50,70.8
2000-02-01 00:00:00,220.30,203.4
2000-03-01 00:00:00,159.40,48
2000-04-01 00:00:00,48.50,22.9
2000-05-01 00:00:00,110.50,90.7
2000-06-01 00:00:00,83.60,81
2000-07-01 00:00:00,203.40,101.2
2000-08-01 00:00:00,227.40,140.2
2000-09-01 00:00:00,198.00,147
2000-10-01 00:00:00,180.90,140.6
2000-11-01 00:00:00,209.00,219.8
2000-12-01 00:00:00,170.40,147.8
2001-01-01 00:00:00,51.30,16
2001-02-01 00:00:00,69.40,52.5
2001-03-01 00:00:00,14.40,8.8
2001-04-01 00:00:00,40.00,14.2
2001-05-01 00:00:00,42.40,22.3
2001-06-01 00:00:00,80.50,43
2001-07-01 00:00:00,210.00,112.4
2001-08-01 00:00:00,227.90,170.6
2001-09-01 00:00:00,171.10,135.9
2001-10-01 00:00:00,242.90,294.9
2001-11-01 00:00:00,87.50,33.9
2001-12-01 00:00:00,269.10,246.1
2002-01-01 00:00:00,93.00,70.1
2002-02-01 00:00:00,196.40,84
2002-03-01 00:00:00,36.30,67.8
2002-04-01 00:00:00,224.10,186.8
2002-05-01 00:00:00,110.50,33.7
2002-06-01 00:00:00,117.60,65.8
2002-07-01 00:00:00,193.60,133.2
2002-08-01 00:00:00,138.80,111.9
2002-09-01 00:00:00,254.40,162.1
2002-10-01 00:00:00,203.00,250.9
2002-11-01 00:00:00,153.10,130.6
2002-12-01 00:00:00,36.10,31.6
2003-01-01 00:00:00,67.50,62.6
2003-02-01 00:00:00,96.90,53.5
2003-03-01 00:00:00,34.70,24
2003-04-01 00:00:00,36.10,23.7
2003-05-01 00:00:00,29.90,29.4
2003-06-01 00:00:00,180.90,125.3
2003-07-01 00:00:00,241.60,163.1
2003-08-01 00:00:00,203.70,113.3
2003-09-01 00:00:00,132.30,143.4
2003-10-01 00:00:00,240.40,134.2
2003-11-01 00:00:00,251.80,163.3
2003-12-01 00:00:00,97.40,69.5
2004-01-01 00:00:00,81.30,65.4
2004-02-01 00:00:00,60.80,31.4
2004-03-01 00:00:00,128.10,103.9
2004-04-01 00:00:00,72.90,121.4
2004-05-01 00:00:00,271.60,168
2004-06-01 00:00:00,244.50,218.7
2004-07-01 00:00:00,262.80,187.8
2004-08-01 00:00:00,165.60,212.9
2004-09-01 00:00:00,197.50,181.3
2004-10-01 00:00:00,123.90,180.3
2004-11-01 00:00:00,391.90,187.8
2004-12-01 00:00:00,169.60,102
2005-01-01 00:00:00,269.40,181.8
2005-02-01 00:00:00,101.00,55.1
2005-03-01 00:00:00,28.80,21
2005-04-01 00:00:00,15.90,23.6
2005-05-01 00:00:00,272.80,105
2005-06-01 00:00:00,268.00,364.3
2005-07-01 00:00:00,275.70,200.8
2005-08-01 00:00:00,141.50,154.1
2005-09-01 00:00:00,103.40,51.7
2005-10-01 00:00:00,305.80,429.7
2005-11-01 00:00:00,368.50,208.9
2005-12-01 00:00:00,92.10,89.5
2006-01-01 00:00:00,129.50,101.9
2006-02-01 00:00:00,50.10,53.4
2006-03-01 00:00:00,49.00,13
2006-04-01 00:00:00,45.70,30.8
2006-05-01 00:00:00,60.20,55.8
2006-06-01 00:00:00,325.60,261.6
2006-07-01 00:00:00,190.50,107.6
2006-08-01 00:00:00,192.20,172.4
2006-09-01 00:00:00,231.40,58.3
2006-10-01 00:00:00,312.00,138.8
2006-11-01 00:00:00,161.90,130.7
2006-12-01 00:00:00,142.70,115.7
2007-01-01 00:00:00,108.80,97.4
2007-02-01 00:00:00,64.30,58.3
2007-03-01 00:00:00,89.20,129
2007-04-01 00:00:00,50.80,101.9
2007-05-01 00:00:00,30.10,23.9
2007-06-01 00:00:00,96.80,166.4
2007-07-01 00:00:00,133.20,93.7
2007-08-01 00:00:00,376.90,287.7
2007-09-01 00:00:00,156.80,103.6
2007-10-01 00:00:00,229.50,216.1
2007-11-01 00:00:00,116.10,112.6
2007-12-01 00:00:00,116.00,85.5
2008-01-01 00:00:00,78.70,108.6
2008-02-01 00:00:00,115.00,88
2008-03-01 00:00:00,77.30,72.6
2008-04-01 00:00:00,99.10,106.3
2008-05-01 00:00:00,62.70,62.1
2008-06-01 00:00:00,104.80,137.2
2008-07-01 00:00:00,243.30,122.8
2008-08-01 00:00:00,236.60,207.8
2008-09-01 00:00:00,308.60,224
2008-10-01 00:00:00,455.00,253.9
2008-11-01 00:00:00,274.10,166.7
2008-12-01 00:00:00,137.20,60.6
2009-01-01 00:00:00,202.40,204.8
2009-02-01 00:00:00,90.40,63.3
2009-03-01 00:00:00,40.10,24.7
2009-04-01 00:00:00,152.10,192.7
2009-05-01 00:00:00,289.30,145.5
2009-06-01 00:00:00,118.60,120.4
2009-07-01 00:00:00,153.30,156.8
2009-08-01 00:00:00,120.60,165.7
2009-09-01 00:00:00,52.70,99.5
2009-10-01 00:00:00,116.50,84.6
2009-11-01 00:00:00,86.90,96.6
2009-12-01 00:00:00,68.30,34.3
2010-01-01 00:00:00,39.60,75.5
2010-02-01 00:00:00,1.70,2.8
2010-03-01 00:00:00,38.00,25.4
2010-04-01 00:00:00,153.60,155.1
2010-05-01 00:00:00,97.90,147.8
2010-06-01 00:00:00,250.00,268.8
2010-07-01 00:00:00,263.70,178
2010-08-01 00:00:00,216.90,232
2010-09-01 00:00:00,296.50,234
2010-10-01 00:00:00,681.50,710.9
2010-11-01 00:00:00,383.00,269.8
2010-12-01 00:00:00,271.20,162.4
2011-01-01 00:00:00,121.60,100.8
2011-02-01 00:00:00,78.30,43.1
2011-03-01 00:00:00,120.00,79.7
2011-04-01 00:00:00,306.00,407.9
2011-05-01 00:00:00,92.90,108.6
2011-06-01 00:00:00,176.90,130.6
2011-07-01 00:00:00,280.40,285.2
2011-08-01 00:00:00,266.20,212.6
2011-09-01 00:00:00,161.90,162.5
2011-10-01 00:00:00,184.50,174.9
2011-11-01 00:00:00,280.60,299.7
2011-12-01 00:00:00,65.00,72.8
