month,station-gonaïves,station-juvénat-(p.v),station-daien,station-delas,station-port-au-prince,station-saint-arc,station-cap-haitien,station-ouanainthe,station-jacel,station-la-vallée-de-jacel,station-cayes
1982-01-01 00:00:00,0.00,43.50,35.20,46.40,72.20,31.60,304.00,82,0.00,56.80,48.7
1982-02-01 00:00:00,8.70,15.80,1.20,11.20,9.00,24.20,27.50,21.4,65.00,21.70,51.6
1982-03-01 00:00:00,4.30,75.00,14.80,24.70,83.90,13.30,42.60,5.6,6.50,12.60,61.4
1982-04-01 00:00:00,18.20,256.30,203.70,164.80,155.60,108.60,53.80,95.6,156.20,109.90,88.3
1982-05-01 00:00:00,77.00,242.90,108.70,192.90,253.90,201.00,421.80,430.2,141.00,115.40,366.8
1982-06-01 00:00:00,41.00,112.90,77.80,98.10,149.60,121.70,117.00,192.7,22.50,33.30,45.1
1982-07-01 00:00:00,73.30,12.30,44.80,10.20,24.50,266.50,19.30,168.9,36.50,87.50,47.6
1982-08-01 00:00:00,83.80,92.10,50.20,60.80,101.40,140.10,13.00,36.8,65.70,83.00,98.6
1982-09-01 00:00:00,108.50,125.20,73.10,99.20,106.60,151.20,31.20,61.2,155.00,137.70,97.4
1982-10-01 00:00:00,23.50,183.90,137.60,137.90,204.40,99.80,205.30,116.6,51.50,131.00,192.6
1982-11-01 00:00:00,1.50,73.80,47.30,29.80,35.80,1.50,167.50,45.7,33.50,21.30,100.5
1982-12-01 00:00:00,3.00,2.30,8.50,0.00,2.50,4.00,63.60,28.2,1.50,4.20,66.3
1983-01-01 00:00:00,1.50,9.90,9.80,4.50,19.70,0.80,180.70,57.5,9.00,31.50,19.3
1983-02-01 00:00:00,12.50,85.90,0.40,3.00,8.30,10.70,81.00,20.2,32.00,13.40,18.2
1983-03-01 00:00:00,44.00,96.60,49.00,37.90,50.40,53.90,102.00,34,212.00,116.20,52.4
1983-04-01 00:00:00,17.50,125.70,50.80,51.40,57.70,2.30,189.90,118.5,259.00,124.80,117.6
1983-05-01 00:00:00,5.00,317.90,326.10,263.10,320.50,91.00,269.70,188.5,228.50,261.40,89.8
1983-06-01 00:00:00,98.20,148.00,69.40,67.20,137.00,128.10,156.10,115.7,161.00,100.40,225.8
1983-07-01 00:00:00,99.00,27.10,59.90,31.00,29.40,94.00,15.50,119.9,33.00,103.60,21.1
1983-08-01 00:00:00,61.80,171.80,138.20,201.30,150.90,136.10,14.70,123.3,127.40,161.00,139.7
1983-09-01 00:00:00,29.10,203.90,51.70,135.50,225.30,122.40,119.00,36.9,65.30,116.70,141.5
1983-10-01 00:00:00,30.00,115.60,176.70,164.10,117.10,42.80,67.30,121,173.70,108.10,
1983-11-01 00:00:00,4.50,55.50,19.80,35.50,55.90,22.40,63.20,16.2,50.40,31.90,
1983-12-01 00:00:00,5.20,0.10,2.00,2.90,,21.00,130.60,5.9,39.00,3.90,28.4
1984-01-01 00:00:00,60.90,103.50,39.10,164.10,151.00,32.50,109.10,29.7,48.90,50.10,
1984-02-01 00:00:00,21.50,65.40,54.20,29.70,55.60,58.30,173.40,59,29.70,118.10,162.9
1984-03-01 00:00:00,33.50,58.20,40.50,29.70,30.60,14.50,49.80,16.1,68.10,36.90,108.5
1984-04-01 00:00:00,39.60,126.30,76.90,60.60,97.50,116.00,190.00,119.1,141.60,81.20,151.8
1984-05-01 00:00:00,23.30,300.50,120.00,245.10,209.10,81.30,24.50,95.3,367.70,452.20,170.3
1984-06-01 00:00:00,134.00,238.70,111.30,163.80,312.50,230.60,122.20,190.4,143.80,224.70,71.6
1984-07-01 00:00:00,43.20,116.10,39.00,85.60,52.70,102.80,32.30,85.8,223.70,434.20,177.5
1984-08-01 00:00:00,38.20,79.70,58.70,79.80,61.70,181.40,26.00,39.5,103.50,107.90,76.6
1984-09-01 00:00:00,151.80,192.80,261.60,144.00,199.60,249.50,139.00,320.6,72.00,111.90,409.3
1984-10-01 00:00:00,20.40,165.30,87.60,124.90,97.40,220.90,115.00,143.2,74.20,133.70,116.1
1984-11-01 00:00:00,37.50,93.70,75.80,64.60,100.40,14.00,184.10,182.3,25.70,12.90,46.7
