month,cultuurtuin,zorg-en-hoop,nickerie,sipaliwini,stoelanseiland,tafelberg,kwaalasaoetoe
1995-08-01 00:00:00,122.7,125.4,196,,,,80.1
1995-09-01 00:00:00,78,39.8,28.5,,,,72.8
1995-10-01 00:00:00,74.9,38,60.9,,,,73.9I
1995-11-01 00:00:00,170,173,91.2,,,,78
1995-12-01 00:00:00,113.3,73.6,133.7,,,,77.9
1996-01-01 00:00:00,311.9,300.9,330,,,,
1996-02-01 00:00:00,382.8,410.3,254.7,,,,
1996-03-01 00:00:00,222.3,168.2,30.8,,,,
1996-04-01 00:00:00,39.2,63.4,58.7,,,,
1996-05-01 00:00:00,174.9,193,215.4,,,,
1996-06-01 00:00:00,425.6,435.3,360.5,,,,
1996-07-01 00:00:00,340.5,353.4,313.4,,,,
1996-08-01 00:00:00,173.2,94.2,,,,,
1996-09-01 00:00:00,49.6,55.4,,,,,
1996-10-01 00:00:00,82.4,105.2,4.6,,32.4,,
1996-11-01 00:00:00,129.9,133.1,82.2,,174.1,,
1996-12-01 00:00:00,212.3,182,40.8,,109.7,,
1997-01-01 00:00:00,254,216.6,175.7,155.8,304.5,,
1997-02-01 00:00:00,376.3,296.2,218,,309,,
1997-03-01 00:00:00,,81.9,17.7,,177.5,,
1997-04-01 00:00:00,148.1,181.5,91.1,,231.2,,
1997-05-01 00:00:00,256.4,250.7,244.6,,597.6,,
1997-06-01 00:00:00,,179.2,254.7,,239.3,,
1997-07-01 00:00:00,259.4,194.7,211.2,,146.2,,
1997-08-01 00:00:00,9.4,27.8,66.3,,105.9,,
1997-09-01 00:00:00,64.8,144.8,0,,,,
1997-10-01 00:00:00,59,35.8,17.2,,18.3,,
1997-11-01 00:00:00,34.3,45.5,20.9,,73.7,,
1997-12-01 00:00:00,172.2,148.9,89.3,,222.2,,
1998-01-01 00:00:00,161.4,137.5,41.6,,210.8,,74.2
1998-02-01 00:00:00,11.5,15.5,18,,66.1,,74.1
1998-03-01 00:00:00,70.3,39.1,28,,158.7,,70.9
1998-04-01 00:00:00,256,312.8,249.7,,467.4,,78.6
1998-05-01 00:00:00,384.3,344.3,265.6,,304.4,,80.2
1998-06-01 00:00:00,436.2,451.8,226.3,,244,,81.8
1998-07-01 00:00:00,165.4,249.2,116.3,,189.1,,75.4
1998-08-01 00:00:00,81.3,133.9,121.1,,179.3,,
1998-09-01 00:00:00,116.6,129.3,70.1,,59.5,,
1998-10-01 00:00:00,43.7,41.1,51.2,,89,,74.9
1998-11-01 00:00:00,157.6,172.2,27.2,,85.4,,73.7
1998-12-01 00:00:00,,185.8,222.7,,305.1,,73.5
1999-01-01 00:00:00,284.5,332.4,61.1,,434.9,,80.6
1999-02-01 00:00:00,,86.9,77.6,,331.7,,81
1999-03-01 00:00:00,150.9,,84,,,,81.1
1999-04-01 00:00:00,166.9,202.6,217.5,,274.6,,
1999-05-01 00:00:00,225.8,146.5,106,,237.5,,84
1999-06-01 00:00:00,384.7,380.3,219.1,,,,82.3I
1999-07-01 00:00:00,273.4,258.9,200.9,,305.2,,80.3I
1999-08-01 00:00:00,238.1,237.1,183.9,,303.8,,82.6
1999-09-01 00:00:00,124,146.6,129.4,,54.8,,80.9
1999-10-01 00:00:00,185.6,162.1,60.9,,108.8,,82
1999-11-01 00:00:00,64.2,84.9,27.7,,0,,78.5
1999-12-01 00:00:00,177.1,122.9,114.6,,183.8,,79.5
2000-01-01 00:00:00,284.7,,378.4,335.1,320.7,,85.2
2000-02-01 00:00:00,289.3,,205.7,208.7,243.4,,83.5
2000-03-01 00:00:00,167.2,,121.4,229.3,168.5,,
2000-04-01 00:00:00,378,389.7,183.1,595.6,343.7,,
2000-05-01 00:00:00,224.7,327,423.1,729.4,451.8,,
2000-06-01 00:00:00,336.9,410.2,414.4,225.4,,,
2000-07-01 00:00:00,206.6,265.7,224.2,435,171.1,,
2000-08-01 00:00:00,192.5,206,120.2,87.8,113.6,,
2000-09-01 00:00:00,99.6,93,81.9,,81.6,,
2000-10-01 00:00:00,126.7,96.6,,,,,
2000-11-01 00:00:00,192.4,143.5,,,,,
2000-12-01 00:00:00,,199.7,,,,,76.2
2001-01-01 00:00:00,138.2,136.9,62.7,,347.3,,
2001-02-01 00:00:00,17.7,23.2,21.4,,118.5,,
2001-03-01 00:00:00,61.4,58,55.4,,160,,
2001-04-01 00:00:00,126.5,117.6,44.3,,232.1,,84.8
2001-05-01 00:00:00,273.2,258.5,178,,469.6,,85.9
2001-06-01 00:00:00,276.6,323.1,188,,280.3,,
2001-07-01 00:00:00,205.5,241.6,,,325.4,,
2001-08-01 00:00:00,48.6,93.6,119.6,,195.6,,
2001-09-01 00:00:00,160.3,143.1,177.1,,99.9,,
2001-10-01 00:00:00,73.2,46.5,,,37.4,,
2001-11-01 00:00:00,196.9,185.6,,,85,,
2001-12-01 00:00:00,197.4,194.5,86.8,184.5,126.5,,80.4
2002-01-01 00:00:00,195,234.2,99.6,,147.2,,85.5
2002-02-01 00:00:00,46.6,49.3,39.3,,202,,85.6
2002-03-01 00:00:00,182.6,178.1,191.6,335.7,254.9,,87.1
